Label,Type,Value,Unit
Psychodidae,Perimeter,3.68,mm
Psychodidae,Perimeter,5.61,mm
Psychodidae,Perimeter,1.64,mm
Psychodidae,Perimeter,3.3,mm
Psychodidae,Perimeter,4.96,mm
Psychodidae,Perimeter,4.43,mm
Psychodidae,Distance,1.99,mm
Psychodidae,Perimeter,3.94,mm
Psychodidae,Perimeter,4.3,mm
Psychodidae,Perimeter,4.39,mm
Psychodidae,Perimeter,4.6,mm
Psychodidae,Perimeter,3.65,mm
Psychodidae,Perimeter,3.15,mm
Psychodidae,Perimeter,4.26,mm
Psychodidae,Perimeter,4.13,mm
Psychodidae,Perimeter,4.04,mm
Psychodidae,Perimeter,3.89,mm
Psychodidae,Perimeter,3.56,mm
Psychodidae,Perimeter,3.97,mm
Psychodidae,Perimeter,2.81,mm
Psychodidae,Perimeter,3.73,mm
Psychodidae,Perimeter,4.12,mm
Psychodidae,Distance,3.73,mm
Psychodidae,Perimeter,2.89,mm
Psychodidae,Perimeter,3.92,mm
Psychodidae,Perimeter,4.01,mm
Psychodidae,Perimeter,4.15,mm
Psychodidae,Perimeter,3.26,mm
Psychodidae,Perimeter,4.61,mm
Psychodidae,Perimeter,4.02,mm
Psychodidae,Perimeter,3.86,mm
Psychodidae,Perimeter,3.9,mm
Psychodidae,Perimeter,4.94,mm
Psychodidae,Perimeter,3.44,mm
Psychodidae,Perimeter,3.43,mm
Psychodidae,Perimeter,4.52,mm
Psychodidae,Perimeter,4.01,mm
Psychodidae,Perimeter,4.25,mm
Psychodidae,Perimeter,4.84,mm
Psychodidae,Distance,4.27,mm
Psychodidae,Perimeter,4.02,mm
Psychodidae,Distance,3.8,mm
Psychodidae,Perimeter,3.95,mm
Psychodidae,Distance,4.27,mm
Psychodidae,Perimeter,3.75,mm
Psychodidae,Perimeter,3.7,mm
Psychodidae,Distance,3.76,mm
Psychodidae,Perimeter,3.39,mm
Psychodidae,Perimeter,4.4,mm
Psychodidae,Perimeter,4.02,mm
,Distance,35.47,in
