#
#
# US Geological Survey, Water Resources Data
# retrieved: 2024-04-06 13:22:40 EDT      (caww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 07086000 ARKANSAS RIVER AT GRANITE, CO.
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00010		Temperature, water, degrees Celsius		295112	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	07086000	00010	295112	1995	5.67
USGS	07086000	00010	295112	1996	5.76
USGS	07086000	00010	295112	2000	6.63
USGS	07086000	00010	295112	2001	6.47
USGS	07086000	00010	295112	2006	6.64
USGS	07086000	00010	295112	2007	6.54
USGS	07086000	00010	295112	2008	5.96
USGS	07086000	00010	295112	2010	6.34
USGS	07086000	00010	295112	2011	6.32
USGS	07086000	00010	295112	2012	7.4
USGS	07086000	00010	295112	2013	6.3
USGS	07086000	00010	295112	2014	6.09
USGS	07086000	00010	295112	2015	6.94
USGS	07086000	00010	295112	2016	7.02
USGS	07086000	00010	295112	2017	7.03
USGS	07086000	00010	295112	2018	7.2
USGS	07086000	00010	295112	2021	6.66
USGS	07086000	00010	295112	2022	6.84
USGS	07086000	00010	295112	2023	6.46

