Label,Type,Value,Unit
Baetidae,Perimeter,2.22,mm
Baetidae,Perimeter,2.01,mm
Baetidae,Perimeter,3.26,mm
Baetidae,Perimeter,2.65,mm
Baetidae,Perimeter,3.27,mm
Baetidae,Perimeter,1.35,mm
Baetidae,Perimeter,1.69,mm
Baetidae,Perimeter,1.84,mm
Baetidae,Perimeter,2.62,mm
Baetidae,Perimeter,3.23,mm
Baetidae,Perimeter,2.05,mm
Baetidae,Perimeter,2.83,mm
Baetidae,Perimeter,2.21,mm
Baetidae,Perimeter,3.24,mm
Baetidae,Perimeter,3.29,mm
Baetidae,Perimeter,1.91,mm
Baetidae,Perimeter,2.48,mm
Baetidae,Perimeter,2.43,mm
Baetidae,Perimeter,2.79,mm
Baetidae,Perimeter,1.95,mm
Baetidae,Perimeter,3.54,mm
Baetidae,Perimeter,2.4,mm
Baetidae,Perimeter,2.79,mm
