Label,Type,Value,Unit
Brachycentridae,Perimeter,2.75,mm
Brachycentridae,Perimeter,2.81,mm
Brachycentridae,Perimeter,4.52,mm
Brachycentridae,Perimeter,9.68,mm
Brachycentridae,Perimeter,4.41,mm
Brachycentridae,Perimeter,9.5,mm
Brachycentridae,Perimeter,10,mm
Brachycentridae,Perimeter,9,mm
Brachycentridae,Perimeter,10,mm
Brachycentridae,Perimeter,11,mm
Brachycentridae,Perimeter,10,mm
Brachycentridae,Perimeter,10,mm
Brachycentridae,Perimeter,11,mm
Brachycentridae,Perimeter,10.5,mm
Brachycentridae,Perimeter,10,mm
Brachycentridae,Perimeter,10.5,mm
