Label,Type,Value,Unit
Brachycentridae,Distance,2.64,mm
Brachycentridae,Distance,3,mm
Brachycentridae,Distance,1.98,mm
Brachycentridae,Perimeter,2.44,mm
Brachycentridae,Perimeter,2.47,mm
Brachycentridae,Perimeter,2.62,mm
Hydropsychidae,Perimeter,19,mm
Hydropsychidae,Perimeter,17,mm
Hydropsychidae,Perimeter,18.5,mm
Hydropsychidae,Perimeter,13,mm
Hydropsychidae,Perimeter,18,mm
Hydropsychidae,Perimeter,8.5,mm
Hydropsychidae,Perimeter,20,mm
Hydropsychidae,Perimeter,19.5,mm
Hydropsychidae,Perimeter,24,mm
Hydropsychidae,Perimeter,18.5,mm
Hydropsychidae,Perimeter,22,mm
Hydropsychidae,Perimeter,27,mm
Hydropsychidae,Perimeter,18,mm


