taxa_names,order
Baetidae,Ephemeroptera
Blephariceridae,Diptera
Brachycentridae,Trichoptera
Ceratopogonidae,Diptera
Chironomidae,Diptera
Chloroperlidae,Plecoptera
Elmidae,Coleoptera
Empididae,Diptera
Ephemerellidae,Ephemeroptera
Heptageniidae,Ephemeroptera
Hydrachnidae,"""water mites"""
Hydropsychidae,Trichoptera
Hydroptilidae,Trichoptera
Nematomorpha,"""Horse hair worm"""
Nemouridae,Plecoptera
Perlidae,Plecoptera
Perlodidae,Plecoptera
Planariidae,"""flat worms"""
Psychodidae,Diptera
Pteronarcyidae,Plecoptera
Rhyacophilidae,Trichoptera
Simuliidae,Diptera
Tipulidae,Diptera
